Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.725;580;[1,0,2];786;[1,2,0]
4;   0.981;755;[1,0,3,2];1362;[3,0,2,1]
5;   1.276;851;[1,0,3,2,4];1632;[2,4,3,0,1]
6;   1.512;995;[2,4,5,1,0,3];1989;[4,2,1,5,3,0]
7;   1.829;1060;[6,3,2,4,5,1,0];2434;[0,1,2,4,6,5,3]
8;   2.080;1060;[1,4,5,0,2,7,3,6];3075;[2,1,7,4,6,5,3,0]
9;   2.375;1073;[4,5,0,8,2,7,3,6,1];3170;[4,6,8,5,3,0,2,1,7]
10;   2.729;1193;[7,9,3,6,1,4,5,0,8,2];3816;[7,4,6,8,3,5,9,0,2,1]
11;   2.984;1216;[0,8,2,7,9,3,6,4,5,10,1];4361;[2,10,7,4,3,5,9,0,6,8,1]
12;   3.256;1305;[5,10,1,11,6,3,9,7,2,8,0,4];4694;[9,0,6,1,2,11,8,10,7,4,3,5]
13;   3.527;1541;[9,3,6,11,1,0,4,5,10,12,8,2,7];5310;[12,9,0,8,11,5,6,10,3,1,7,4,2]
14;   3.800;1594;[10,12,5,4,0,8,7,2,9,3,6,13,11,1];5594;[6,0,13,5,3,10,2,1,7,11,8,12,9,4]
15;   4.131;1828;[2,7,3,9,6,13,11,10,1,0,5,4,12,8,14];5809;[3,10,14,4,6,5,2,12,9,0,13,8,1,7,11]
16;   4.379;1873;[2,7,9,13,14,8,15,0,4,5,10,12,1,11,6,3];5957;[13,5,7,10,8,11,3,12,9,0,2,1,14,4,6,15]
17;   4.703;2362;[9,2,7,3,6,14,8,15,10,5,4,0,12,1,11,13,16];6772;[15,9,0,13,5,7,4,16,12,2,8,11,14,1,3,10,6]
18;   5.031;2330;[17,5,1,11,12,10,0,13,6,3,7,2,9,16,14,8,15,4];7246;[13,17,9,10,16,12,14,15,2,11,3,5,8,1,7,4,6,0]
